date,category,flag,scope,message,driver_number,lap_number
2024-03-07,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2024-03-07,Flag,BLACK AND WHITE,Driver,BLACK AND WHITE FLAG FOR CAR 10 (GAS) - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – TRACK LIMITS,10.0,
2024-03-07,Flag,CHEQUERED,Track,CHEQUERED FLAG,,
2024-03-07,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2024-03-07,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2024-03-07,Flag,BLACK AND WHITE,Driver,BLACK AND WHITE FLAG FOR CAR 18 (STR) - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – TRACK LIMITS,18.0,
2024-03-07,Flag,BLACK AND WHITE,Driver,BLACK AND WHITE FLAG FOR CAR 18 (STR) - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – TRACK LIMITS,18.0,
2024-03-07,Flag,CHEQUERED,Track,CHEQUERED FLAG,,
2024-03-07,Flag,CHEQUERED,Track,CHEQUERED FLAG,,
