date,category,flag,scope,message,driver_number,lap_number
2024-04-20,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,1.0
2024-04-20,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,1.0
2024-04-20,Flag,CHEQUERED,Track,CHEQUERED FLAG,,19.0
2024-04-20,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2024-04-20,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 10,,
2024-04-20,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 10,,
2024-04-20,Flag,CHEQUERED,Track,CHEQUERED FLAG,,
2024-04-20,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2024-04-20,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 19,,
2024-04-20,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 18,,
2024-04-20,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 19,,
2024-04-20,Flag,RED,Track,RED FLAG,,
2024-04-20,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 19,,
2024-04-20,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 18,,
2024-04-20,Flag,CLEAR,Track,TRACK CLEAR,,
2024-04-20,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2024-04-20,Flag,CHEQUERED,Track,CHEQUERED FLAG,,
2024-04-20,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2024-04-20,Flag,CHEQUERED,Track,CHEQUERED FLAG,,
