date,category,flag,scope,message,driver_number,lap_number
2023-11-04,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2023-11-04,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 3,,
2023-11-04,Flag,RED,Track,RED FLAG,,
2023-11-04,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 3,,
2023-11-04,Flag,CLEAR,Track,TRACK CLEAR,,
2023-11-04,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2023-11-04,Flag,CHEQUERED,Track,CHEQUERED FLAG,,
2023-11-04,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2023-11-04,Flag,CHEQUERED,Track,CHEQUERED FLAG,,
2023-11-04,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,1.0
2023-11-04,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,1.0
2023-11-04,Flag,CHEQUERED,Track,CHEQUERED FLAG,,24.0
