date,category,flag,scope,message,driver_number,lap_number
2024-03-01,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2024-03-01,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2024-03-01,Flag,CHEQUERED,Track,CHEQUERED FLAG,,
2024-03-01,Flag,CHEQUERED,Track,CHEQUERED FLAG,,
2024-03-01,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2024-03-01,Flag,CHEQUERED,Track,CHEQUERED FLAG,,
2024-03-01,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2024-03-01,Flag,CHEQUERED,Track,CHEQUERED FLAG,,
2024-03-01,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2024-03-01,Flag,CHEQUERED,Track,CHEQUERED FLAG,,
