date,category,flag,scope,message,driver_number,lap_number
2024-03-09,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,1.0
2024-03-09,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,1.0
2024-03-09,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 15,,7.0
2024-03-09,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 15,,7.0
2024-03-09,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 14,,7.0
2024-03-09,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 2,,9.0
2024-03-09,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 14,,9.0
2024-03-09,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 15,,9.0
2024-03-09,Flag,CLEAR,Track,TRACK CLEAR,,9.0
2024-03-09,Flag,BLACK AND WHITE,Driver,BLACK AND WHITE FLAG FOR CAR 4 (NOR) - WEAVING ON STRAIGHT,4.0,41.0
2024-03-09,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 3 (RIC) TIMED AT 21:12:27,3.0,43.0
2024-03-09,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 21:15:57,2.0,45.0
2024-03-09,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 21:16:17,77.0,45.0
2024-03-09,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 22 (TSU) TIMED AT 21:18:03,22.0,46.0
2024-03-09,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 31 (OCO) TIMED AT 21:20:58,31.0,48.0
2024-03-09,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 3 (RIC) TIMED AT 21:21:53,3.0,49.0
2024-03-09,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 3 (RIC) TIMED AT 21:24:11,3.0,50.0
2024-03-09,Flag,CHEQUERED,Track,CHEQUERED FLAG,,50.0
