date,category,flag,scope,message,driver_number,lap_number
2024-11-22,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2024-11-22,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 14,,
2024-11-22,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 14,,
2024-11-22,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 18,,
2024-11-22,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 18,,
2024-11-22,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 8,,
2024-11-22,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 8,,
2024-11-22,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 18,,
2024-11-22,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 18,,
2024-11-22,Flag,BLACK AND WHITE,Driver,BLACK AND WHITE FLAG FOR CAR 43 (COL) - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – CROSSING THE LINE AT PIT ENTRY,43.0,
2024-11-22,Flag,BLACK AND WHITE,Driver,BLACK AND WHITE FLAG FOR CAR 23 (ALB) - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – CROSSING THE LINE AT PIT ENTRY,23.0,
2024-11-22,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 18,,
2024-11-22,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 18,,
2024-11-22,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 14,,
2024-11-22,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 14,,
2024-11-22,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 9,,
2024-11-22,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 9,,
2024-11-22,Flag,CHEQUERED,Track,CHEQUERED FLAG,,
2024-11-22,Flag,CLEAR,Track,TRACK CLEAR,,
2024-11-22,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2024-11-22,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
