date,category,flag,scope,message,driver_number,lap_number
2023-09-22,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2023-09-22,Flag,CHEQUERED,Track,CHEQUERED FLAG,,
2023-09-22,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2023-09-22,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 10,,
2023-09-22,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 10,,
2023-09-22,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 9,,
2023-09-22,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 10,,
2023-09-22,Flag,RED,Track,RED FLAG,,
2023-09-22,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 9,,
2023-09-22,Flag,CLEAR,Track,TRACK CLEAR,,
2023-09-22,Flag,RED,Track,RED FLAG,,
2023-09-22,Flag,CLEAR,Track,TRACK CLEAR,,
2023-09-22,Flag,CLEAR,Track,TRACK CLEAR,,
2023-09-22,Flag,CLEAR,Track,TRACK CLEAR,,
2023-09-22,Flag,CLEAR,Track,TRACK CLEAR,,
2023-09-22,Flag,CLEAR,Track,TRACK CLEAR,,
