date,category,flag,scope,message,driver_number,lap_number
2024-04-06,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2024-04-06,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 12,,
2024-04-06,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 12,,
2024-04-06,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 3,,
2024-04-06,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 3,,
2024-04-06,Flag,CHEQUERED,Track,CHEQUERED FLAG,,
2024-04-06,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2024-04-06,Flag,CHEQUERED,Track,CHEQUERED FLAG,,
2024-04-06,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2024-04-06,Flag,CHEQUERED,Track,CHEQUERED FLAG,,
2024-04-06,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2024-04-06,Flag,CHEQUERED,Track,CHEQUERED FLAG,,
