date,category,flag,scope,message,driver_number,lap_number
2023-02-25,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2023-02-25,Flag,RED,Track,RED FLAG,,
2023-02-25,Flag,CLEAR,Track,TRACK CLEAR,,
2023-02-25,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2023-02-25,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 11:43:52,11.0,
2023-02-25,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 11:51:22,77.0,
2023-02-25,Flag,RED,Track,RED FLAG,,
2023-02-25,Flag,CLEAR,Track,TRACK CLEAR,,
2023-02-25,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2023-02-25,Flag,RED,Track,RED FLAG,,
2023-02-25,Flag,CLEAR,Track,TRACK CLEAR,,
2023-02-25,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2023-02-25,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2023-02-25,Flag,RED,Track,RED FLAG,,
2023-02-25,Flag,CLEAR,Track,TRACK CLEAR,,
2023-02-25,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2023-02-25,Flag,RED,Track,RED FLAG,,
2023-02-25,Flag,CLEAR,Track,TRACK CLEAR,,
2023-02-25,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2023-02-25,Flag,RED,Track,RED FLAG,,
2023-02-25,Flag,CLEAR,Track,TRACK CLEAR,,
