date,category,flag,scope,message,driver_number,lap_number
2023-06-16,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2023-06-16,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 8,,
2023-06-16,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 8,,
2023-06-16,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 7,,
2023-06-16,Flag,RED,Track,RED FLAG,,
2023-06-16,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 8,,
2023-06-16,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 7,,
2023-06-16,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2023-06-16,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 1,,
2023-06-16,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 1,,
2023-06-16,Flag,RED,Track,RED FLAG,,
2023-06-16,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 1,,
2023-06-16,Flag,CLEAR,Track,TRACK CLEAR,,
2023-06-16,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2023-06-16,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 9,,
2023-06-16,Flag,RED,Track,RED FLAG,,
2023-06-16,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 9,,
2023-06-16,Flag,CLEAR,Track,TRACK CLEAR,,
2023-06-16,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2023-06-16,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 1,,
2023-06-16,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 1,,
2023-06-16,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 1,,
2023-06-16,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 1,,
2023-06-16,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 4,,
2023-06-16,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 9,,
2023-06-16,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 10,,
2023-06-16,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 11,,
2023-06-16,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 10,,
2023-06-16,Flag,CHEQUERED,Track,CHEQUERED FLAG,,
2023-06-16,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 1,,
2023-06-16,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 1,,
2023-06-16,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 1,,
2023-06-16,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 1,,
2023-06-16,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 9,,
2023-06-16,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 1,,
