date,category,flag,scope,message,driver_number,lap_number
2023-09-17,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,1.0
2023-09-17,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,1.0
2023-09-17,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 13,,1.0
2023-09-17,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 13,,1.0
2023-09-17,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 13,,2.0
2023-09-17,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 13,,2.0
2023-09-17,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 7,,19.0
2023-09-17,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 7,,19.0
2023-09-17,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 7,,19.0
2023-09-17,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 7,,20.0
2023-09-17,Flag,CLEAR,Track,TRACK CLEAR,,22.0
2023-09-17,Flag,BLACK AND WHITE,Driver,BLACK AND WHITE FLAG FOR CAR 20 (MAG) - FORCING ANOTHER DRIVER OFF THE TRACK,20.0,26.0
2023-09-17,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 2,,43.0
2023-09-17,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 1,,43.0
2023-09-17,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 1,,45.0
2023-09-17,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 2,,45.0
2023-09-17,Flag,CLEAR,Track,TRACK CLEAR,,45.0
2023-09-17,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 13,,47.0
2023-09-17,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 13,,47.0
2023-09-17,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 13,,47.0
2023-09-17,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 13,,53.0
2023-09-17,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 13,,53.0
2023-09-17,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 11,,59.0
2023-09-17,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 11,,59.0
2023-09-17,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 10,,59.0
2023-09-17,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 11,,59.0
2023-09-17,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 10,,59.0
2023-09-17,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 9,,62.0
2023-09-17,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 9,,62.0
2023-09-17,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 8,,62.0
2023-09-17,Flag,CHEQUERED,Track,CHEQUERED FLAG,,62.0
2023-09-17,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 7,,62.0
