date,category,flag,scope,message,driver_number,lap_number
2023-05-27,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2023-05-27,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 11,,
2023-05-27,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 10,,
2023-05-27,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 11,,
2023-05-27,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 10,,
2023-05-27,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 2,,
2023-05-27,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 2,,
2023-05-27,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 9,,
2023-05-27,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 9,,
2023-05-27,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 8,,
2023-05-27,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 8,,
2023-05-27,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 9,,
2023-05-27,Flag,CLEAR,Track,TRACK CLEAR,,
2023-05-27,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 7,,
2023-05-27,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 7,,
2023-05-27,Flag,RED,Track,RED FLAG,,
2023-05-27,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2023-05-27,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 2,,
2023-05-27,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 2,,
2023-05-27,Flag,RED,Track,RED FLAG,,
2023-05-27,Flag,CLEAR,Track,TRACK CLEAR,,
2023-05-27,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2023-05-27,Flag,CHEQUERED,Track,CHEQUERED FLAG,,
2023-05-27,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 10,,
2023-05-27,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 13,,
2023-05-27,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 13,,
2023-05-27,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 15,,
2023-05-27,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 10,,
2023-05-27,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 15,,
2023-05-27,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2023-05-27,Flag,CHEQUERED,Track,CHEQUERED FLAG,,
2023-05-27,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 10,,
2023-05-27,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 13,,
2023-05-27,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 13,,
2023-05-27,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 10,,
2023-05-27,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2023-05-27,Flag,CHEQUERED,Track,CHEQUERED FLAG,,
2023-05-27,Flag,CHEQUERED,Track,CHEQUERED FLAG,,
2023-05-27,Flag,CHEQUERED,Track,CHEQUERED FLAG,,
2023-05-27,Flag,CHEQUERED,Track,CHEQUERED FLAG,,
