date,category,flag,scope,message,driver_number,lap_number
2023-10-22,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,1.0
2023-10-22,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 16,,1.0
2023-10-22,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 16,,1.0
2023-10-22,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 16,,1.0
2023-10-22,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 16,,1.0
2023-10-22,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 16,,1.0
2023-10-22,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,1.0
2023-10-22,Flag,BLACK AND WHITE,Driver,BLACK AND WHITE FLAG FOR CAR 20 (MAG) - TRACK LIMITS,20.0,24.0
2023-10-22,Flag,BLACK AND WHITE,Driver,BLACK AND WHITE FLAG FOR CAR 2 (SAR) - TRACK LIMITS,2.0,42.0
2023-10-22,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 3 (RIC) TIMED AT 15:25:46,3.0,49.0
2023-10-22,Flag,BLACK AND WHITE,Driver,BLACK AND WHITE FLAG FOR CAR 23 (ALB) - TRACK LIMITS,23.0,51.0
2023-10-22,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 3 (RIC) TIMED AT 15:33:37,3.0,53.0
2023-10-22,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 15:36:29,20.0,55.0
2023-10-22,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 15:37:57,24.0,56.0
2023-10-22,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 15:38:30,24.0,56.0
2023-10-22,Flag,CHEQUERED,Track,CHEQUERED FLAG,,56.0
2023-10-22,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 5,,56.0
2023-10-22,Flag,BLACK AND WHITE,Driver,BLACK AND WHITE FLAG FOR CAR 44 (HAM) - TRACK LIMITS,44.0,56.0
2023-10-22,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 5,,56.0
2023-10-22,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 5,,56.0
2023-10-22,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 5,,56.0
2023-10-22,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 5,,56.0
