date,category,flag,scope,message,driver_number,lap_number
2024-07-07,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,1.0
2024-07-07,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,1.0
2024-07-07,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 15:34:23,24.0,21.0
2024-07-07,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 15:34:27,24.0,21.0
2024-07-07,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 15:34:32,24.0,21.0
2024-07-07,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 15:34:40,24.0,21.0
2024-07-07,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 17,,21.0
2024-07-07,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 17,,21.0
2024-07-07,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 17,,21.0
2024-07-07,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 17,,22.0
2024-07-07,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 11,,22.0
2024-07-07,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 17,,22.0
2024-07-07,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 17,,22.0
2024-07-07,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 17,,22.0
2024-07-07,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 17,,22.0
2024-07-07,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 17,,22.0
2024-07-07,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 15:37:32,24.0,23.0
2024-07-07,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 15:37:40,24.0,23.0
2024-07-07,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 15:37:49,24.0,23.0
2024-07-07,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 15:37:57,24.0,23.0
2024-07-07,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 15:38:58,24.0,24.0
