date,category,flag,scope,message,driver_number,lap_number
2023-03-19,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,1.0
2023-03-19,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,1.0
2023-03-19,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 3,,3.0
2023-03-19,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 4,,3.0
2023-03-19,Flag,BLACK AND WHITE,Driver,BLACK AND WHITE FLAG FOR CAR 44 (HAM) - WEAVING ON STRAIGHT,44.0,9.0
2023-03-19,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 9,,17.0
2023-03-19,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 9,,17.0
2023-03-19,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 9,,18.0
2023-03-19,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 9,,18.0
2023-03-19,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 8,,18.0
2023-03-19,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 9,,19.0
2023-03-19,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 8,,19.0
2023-03-19,Flag,CLEAR,Track,TRACK CLEAR,,20.0
2023-03-19,Flag,BLACK AND WHITE,Driver,BLACK AND WHITE FLAG FOR CAR 55 (SAI) - WEAVING ON STRAIGHT,55.0,24.0
2023-03-19,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 21:09:23,77.0,40.0
2023-03-19,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 21:11:14,77.0,42.0
2023-03-19,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 21:21:31,77.0,48.0
2023-03-19,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 21:23:22,77.0,49.0
2023-03-19,Flag,CHEQUERED,Track,CHEQUERED FLAG,,50.0
