date,category,flag,scope,message,driver_number,lap_number
2023-10-29,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 14,,1.0
2023-10-29,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 14,,1.0
2023-10-29,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 15,,1.0
2023-10-29,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 13,,1.0
2023-10-29,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 10,,1.0
2023-10-29,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,1.0
2023-10-29,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 10,,1.0
2023-10-29,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 5,,1.0
2023-10-29,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 6,,1.0
2023-10-29,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 11,,1.0
2023-10-29,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 9,,1.0
2023-10-29,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 12,,1.0
2023-10-29,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 6,,1.0
2023-10-29,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 6,,1.0
2023-10-29,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 10,,1.0
2023-10-29,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 6,,1.0
2023-10-29,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 11,,1.0
2023-10-29,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 5,,1.0
2023-10-29,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 12,,1.0
2023-10-29,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 9,,1.0
2023-10-29,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,1.0
2023-10-29,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 3,,1.0
2023-10-29,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 3,,1.0
2023-10-29,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 3,,1.0
2023-10-29,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 3,,5.0
2023-10-29,Flag,CLEAR,Track,TRACK CLEAR,,5.0
2023-10-29,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 3,,8.0
2023-10-29,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 3,,8.0
2023-10-29,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 10,,33.0
2023-10-29,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 9,,33.0
2023-10-29,Flag,RED,Track,RED FLAG,,34.0
2023-10-29,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 9,,34.0
2023-10-29,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 10,,34.0
2023-10-29,Flag,CLEAR,Track,TRACK CLEAR,,35.0
2023-10-29,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 3,,49.0
2023-10-29,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 3,,49.0
2023-10-29,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 3,,49.0
2023-10-29,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 14,,67.0
2023-10-29,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 13,,67.0
2023-10-29,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 14,,67.0
2023-10-29,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 13,,67.0
2023-10-29,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 14,,68.0
2023-10-29,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 13,,68.0
2023-10-29,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 14,,68.0
2023-10-29,Flag,CHEQUERED,Track,CHEQUERED FLAG,,71.0
