date,category,flag,scope,message,driver_number,lap_number
2023-09-23,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2023-09-23,Flag,CHEQUERED,Track,CHEQUERED FLAG,,
2023-09-23,Flag,RED,Track,RED FLAG,,
2023-09-23,Flag,CLEAR,Track,TRACK CLEAR,,
2023-09-23,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2023-09-23,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 22,,
2023-09-23,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 22,,
2023-09-23,Flag,RED,Track,RED FLAG,,
2023-09-23,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 22,,
2023-09-23,Flag,CLEAR,Track,TRACK CLEAR,,
2023-09-23,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2023-09-23,Flag,CHEQUERED,Track,CHEQUERED FLAG,,
2023-09-23,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2023-09-23,Flag,CHEQUERED,Track,CHEQUERED FLAG,,
2023-09-23,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2023-09-23,Flag,CHEQUERED,Track,CHEQUERED FLAG,,
