date,category,flag,scope,message,driver_number,lap_number
2023-11-26,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,1.0
2023-11-26,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 12,,1.0
2023-11-26,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 12,,1.0
2023-11-26,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,1.0
2023-11-26,Flag,BLACK AND WHITE,Driver,BLACK AND WHITE FLAG FOR CAR 23 (ALB) - TRACK LIMITS,23.0,38.0
2023-11-26,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 18:22:01,20.0,53.0
2023-11-26,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 18:23:21,77.0,54.0
2023-11-26,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 18:30:14,24.0,58.0
2023-11-26,Flag,CHEQUERED,Track,CHEQUERED FLAG,,58.0
