date,category,flag,scope,message,driver_number,lap_number
2023-09-24,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,1.0
2023-09-24,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,1.0
2023-09-24,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 4,,1.0
2023-09-24,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 4,,1.0
2023-09-24,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 2,,2.0
2023-09-24,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 2,,4.0
2023-09-24,Flag,CLEAR,Track,TRACK CLEAR,,4.0
2023-09-24,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 12,,6.0
2023-09-24,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 11,,6.0
2023-09-24,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 12,,12.0
2023-09-24,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 12,,12.0
2023-09-24,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 11,,12.0
2023-09-24,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 11,,12.0
2023-09-24,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 12,,12.0
2023-09-24,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 11,,12.0
2023-09-24,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 11,,14.0
2023-09-24,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 12,,14.0
2023-09-24,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 11,,14.0
2023-09-24,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 11,,14.0
2023-09-24,Flag,CLEAR,Track,TRACK CLEAR,,14.0
2023-09-24,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 27 (HUL) TIMED AT 15:22:42,27.0,46.0
2023-09-24,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 15:29:08,24.0,50.0
2023-09-24,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 22 (TSU) TIMED AT 15:32:21,22.0,52.0
2023-09-24,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 40 (LAW) TIMED AT 15:33:16,40.0,52.0
2023-09-24,Flag,CHEQUERED,Track,CHEQUERED FLAG,,53.0
2023-09-24,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 4,,53.0
2023-09-24,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 4,,53.0
