date,category,flag,scope,message,driver_number,lap_number
2024-11-01,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2024-11-01,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 6,,
2024-11-01,Flag,CHEQUERED,Track,CHEQUERED FLAG,,
2024-11-01,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2024-11-01,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2024-11-01,Flag,CHEQUERED,Track,CHEQUERED FLAG,,
2024-11-01,Flag,CHEQUERED,Track,CHEQUERED FLAG,,
2024-11-01,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2024-11-01,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2024-11-01,Flag,CHEQUERED,Track,CHEQUERED FLAG,,
2024-11-01,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2024-11-01,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2024-11-01,Flag,CHEQUERED,Track,CHEQUERED FLAG,,
