date,category,flag,scope,message,driver_number,lap_number
2023-07-07,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2023-07-07,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 8,,
2023-07-07,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 8,,
2023-07-07,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 5,,
2023-07-07,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 5,,
2023-07-07,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 3,,
2023-07-07,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 3,,
2023-07-07,Flag,CHEQUERED,Track,CHEQUERED FLAG,,
2023-07-07,Flag,RED,Track,RED FLAG,,
2023-07-07,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2023-07-07,Flag,CHEQUERED,Track,CHEQUERED FLAG,,
2023-07-07,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 4,,
2023-07-07,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 3,,
2023-07-07,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 4,,
2023-07-07,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 3,,
