date,category,flag,scope,message,driver_number,lap_number
2023-03-05,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,1.0
2023-03-05,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 10,,1.0
2023-03-05,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 10,,1.0
2023-03-05,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,1.0
2023-03-05,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 4,,1.0
2023-03-05,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 4,,1.0
2023-03-05,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 11,,2.0
2023-03-05,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 11,,2.0
2023-03-05,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 11,,2.0
2023-03-05,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 31 (OCO) TIMED AT 18:51:39,31.0,30.0
2023-03-05,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 4 (NOR) TIMED AT 19:03:18,4.0,37.0
2023-03-05,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 4 (NOR) TIMED AT 19:07:05,4.0,39.0
2023-03-05,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 16,,41.0
2023-03-05,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 16,,42.0
2023-03-05,Flag,CLEAR,Track,TRACK CLEAR,,42.0
2023-03-05,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 27 (HUL) TIMED AT 19:12:29,27.0,42.0
2023-03-05,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 31 (OCO) TIMED AT 19:13:53,31.0,43.0
2023-03-05,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 21 (DEV) TIMED AT 19:23:01,21.0,48.0
2023-03-05,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 4 (NOR) TIMED AT 19:24:20,4.0,49.0
2023-03-05,Flag,BLACK AND WHITE,Driver,BLACK AND WHITE FLAG FOR CAR 27 (HUL) - TRACK LIMITS,27.0,49.0
2023-03-05,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 19:27:17,24.0,51.0
2023-03-05,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 19:27:24,24.0,51.0
2023-03-05,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 21 (DEV) TIMED AT 19:29:55,21.0,53.0
2023-03-05,Flag,BLACK AND WHITE,Driver,BLACK AND WHITE FLAG FOR CAR 4 (NOR) - TRACK LIMITS,4.0,55.0
2023-03-05,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 19:33:50,20.0,55.0
2023-03-05,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 19:36:51,2.0,57.0
2023-03-05,Flag,CHEQUERED,Track,CHEQUERED FLAG,,57.0
