date,category,flag,scope,message,driver_number,lap_number
2023-11-18,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2023-11-18,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 6,,
2023-11-18,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 6,,
2023-11-18,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 18,,
2023-11-18,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 18,,
2023-11-18,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 6,,
2023-11-18,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 6,,
2023-11-18,Flag,BLACK AND WHITE,Driver,BLACK AND WHITE FLAG FOR CAR 22 (TSU) - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – CROSSING THE LINE AT PIT ENTRY,22.0,
2023-11-18,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 6,,
2023-11-18,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 6,,
2023-11-18,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 15,,
2023-11-18,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 16,,
2023-11-18,Flag,RED,Track,RED FLAG,,
2023-11-18,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 15,,
2023-11-18,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 16,,
2023-11-18,Flag,CLEAR,Track,TRACK CLEAR,,
2023-11-18,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2023-11-18,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 4,,
2023-11-18,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 6,,
2023-11-18,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 6,,
2023-11-18,Flag,CHEQUERED,Track,CHEQUERED FLAG,,
2023-11-18,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2023-11-18,Flag,CHEQUERED,Track,CHEQUERED FLAG,,
2023-11-18,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 19,,
2023-11-18,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 19,,
2023-11-18,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 19,,
2023-11-18,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2023-11-18,Flag,CHEQUERED,Track,CHEQUERED FLAG,,
