date,category,flag,scope,message,driver_number,lap_number
2023-04-30,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,1.0
2023-04-30,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 6,,1.0
2023-04-30,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 6,,1.0
2023-04-30,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 2,,1.0
2023-04-30,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 2,,1.0
2023-04-30,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,1.0
2023-04-30,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 3,,1.0
2023-04-30,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 2,,1.0
2023-04-30,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 3,,1.0
2023-04-30,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 2,,1.0
2023-04-30,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 3,,1.0
2023-04-30,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 5,,10.0
2023-04-30,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 5,,10.0
2023-04-30,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 8,,10.0
2023-04-30,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 8,,10.0
2023-04-30,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 7,,10.0
2023-04-30,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 7,,13.0
2023-04-30,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 8,,13.0
2023-04-30,Flag,CLEAR,Track,TRACK CLEAR,,13.0
2023-04-30,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 2,,17.0
2023-04-30,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 2,,17.0
2023-04-30,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 16:20:32,77.0,42.0
2023-04-30,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 16:22:02,77.0,43.0
2023-04-30,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 2,,49.0
2023-04-30,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 2,,49.0
2023-04-30,Flag,CHEQUERED,Track,CHEQUERED FLAG,,51.0
2023-04-30,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 18,,51.0
2023-04-30,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 18,,51.0
